line_no,row_kind,source_table,asset_category,currency,symbol,date,ex_date,pay_date,quantity,tax,fee,gross_rate,gross_amount,net_amount,code
435,Data,change_in_dividend_accruals__01,Starting Dividend Accruals in USD,,,,,,,,,,,0,
436,Data,change_in_dividend_accruals__01,Stocks,USD,CBL,2025-03-12,2025-03-13,2025-03-31,100,0,0,0.8,80,80,Po
437,Data,change_in_dividend_accruals__01,Stocks,USD,CBL,2025-03-12,2025-03-13,2025-03-31,100,0,0,0.4,40,40,Po
438,Data,change_in_dividend_accruals__01,Stocks,USD,CBL,2025-03-31,2025-03-13,2025-03-31,100,0,0,0.4,-40,-40,Re
439,Data,change_in_dividend_accruals__01,Stocks,USD,CBL,2025-03-31,2025-03-13,2025-03-31,100,0,0,0.8,-80,-80,Re
440,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2025-05-06,2025-05-07,2025-06-02,40,0,0,0.1575,6.3,6.3,Po
441,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2025-06-02,2025-05-07,2025-06-02,40,0,0,0.1575,-6.3,-6.3,Re
442,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2025-08-05,2025-08-06,2025-09-02,40,0,0,0.1575,6.3,6.3,Po
443,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2025-09-02,2025-08-06,2025-09-02,40,0,0,0.1575,-6.3,-6.3,Re
444,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2025-11-04,2025-11-05,2025-12-01,40,0,0,0.165,6.6,6.6,Po
445,Data,change_in_dividend_accruals__01,Stocks,USD,EQT,2025-12-01,2025-11-05,2025-12-01,40,0,0,0.165,-6.6,-6.6,Re
446,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-04-03,2025-04-04,2025-04-22,100,0,0,0.025,2.5,2.5,Po
447,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-04-03,2025-04-04,2025-04-22,100,0,0,0.85,85,85,Po
448,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-04-22,2025-04-04,2025-04-22,100,0,0,0.85,-85,-85,Re
449,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-04-22,2025-04-04,2025-04-22,100,0,0,0.025,-2.51,-2.51,Re
450,Data,change_in_dividend_accruals__01,Stocks,USD,IGIC,2025-05-30,2025-06-02,2025-06-18,100,0,0,0.05,5,5,Po
