line_no,row_kind,code,meaning,code_cont,meaning_cont
491,Data,A,Assignment,,
492,Data,ADR,ADR Fee Accrual,,
493,Data,AEx,Automatic exercise for dividend-related recommendation.,,
494,Data,AFx,AutoFX conversion resulting from trading,,
495,Data,Adj,Adjustment,,
496,Data,Al,Allocation,,
497,Data,Aw,Away Trade,,
498,Data,B,Automatic Buy-in,,
499,Data,Bo,Direct Borrow,,
500,Data,C,Closing Trade,,
501,Data,CD,Cash Delivery,,
502,Data,CP,Complex Position,,
503,Data,Ca,Cancelled,,
504,Data,Co,Corrected Trade,,
505,Data,Cx,Part or all of this transaction was a Crossing executed as dual agent by IB for two IB customers,,
506,Data,DT,Discounted Trade,,
507,Data,De,Delivery or Conversion Action,,
508,Data,ETF,ETF Creation/Redemption,,
509,Data,Ep,Resulted from an Expired Position,,
510,Data,Ex,Exercise,,
511,Data,FP,The fractional portion of this trade was executed against IB or an affiliate.,,
512,Data,FPA,The fractional portion of this trade was executed against IB or an affiliate. IB acted as agent for the whole share portion of this trade.,,
513,Data,G,Trade in Guaranteed Account Segment,,
514,Data,GEA,Exercise or Assignment resulting from offsetting positions,,
515,Data,HC,Highest Cost tax basis election,,
516,Data,HFI,Investment Transferred to Hedge Fund,,
517,Data,HFR,Redemption from Hedge Fund,,
518,Data,I,Internal Transfer,,
519,Data,IA,The transaction was executed against IB or an affiliate,,
520,Data,IM,A portion of the order was executed against IB or an affiliate; IB acted as agent on a portion.,,
521,Data,INV,Investment Transfer from Investor,,
522,Data,IPO,This transaction was executed as part of an IPO in which IB was a member of the selling group and is classified as a Principal trade.,,
523,Data,L,Ordered by IB (Margin Violation),,
524,Data,LD,Adjusted by Loss Disallowed from Wash Sale,,
525,Data,LF,Liquidation of fractional position by IB,,
526,Data,LI,"Last In, First Out (LIFO) tax basis election",,
527,Data,LT,Long Term P/L,,
528,Data,Lo,Direct Loan,,
529,Data,M,Entered manually by IB,,
530,Data,MEx,Manual exercise for dividend-related recommendation.,,
531,Data,ML,Maximize Losses tax basis election,,
532,Data,MLG,Maximize Long Term Gain tax basis election,,
533,Data,MLL,Maximize Long Term Loss tax basis election,,
534,Data,MSG,Maximize Short Term Gain tax basis election,,
535,Data,MSL,Maximize Short Term Loss tax basis election,,
536,Data,O,Opening Trade,,
537,Data,Off,Yes and No contracts offset to $1.00 cash settlement,,
538,Data,P,Partial Execution,,
539,Data,PE,Perpetual Investment,,
540,Data,PI,Price Improvement,,
541,Data,PTA,Post Trade Allocation,,
542,Data,Po,Interest or Dividend Accrual Posting,,
543,Data,Pr,Part or all of this transaction was executed by the Exchange as a Crossing by IB against an IB affiliate and is therefore classified as a Principal and not an agency trade,,
544,Data,R,Dividend Reinvestment,,
545,Data,RED,Redemption to Investor,,
546,Data,RI,Recurring Investment,,
547,Data,RP,"IB acted as agent for the fractional share portion of this trade, which was executed by an IB affiliate as riskless principal.",,
548,Data,RPA,IB acted as agent for both the fractional share portion and the whole share portion of this trade; the fractional share portion was executed by an IB Affiliate as riskless principal.,,
549,Data,Rb,Rebill,,
550,Data,Re,Interest or Dividend Accrual Reversal,,
551,Data,Ri,Reimbursement,,
552,Data,S0,Contract settled to zero value,,
553,Data,S1,Contract settled to $1.00,,
554,Data,SF,Trade is subject to IBKR Lite Surcharge Fee if volume of such trades exceeds 10% of the total monthly Lite trade volume,,
555,Data,SI,This order was solicited by Interactive Brokers,,
556,Data,SL,Specific Lot tax basis election,,
557,Data,SO,This order was marked as solicited by your Introducing Broker,,
558,Data,SS,Customer designated this trade for shortened settlement and so is subject to execution at prices above the prevailing market,,
559,Data,ST,Short Term P/L,,
560,Data,T,Transfer,,
561,Data,Un,Unvested shares from stock grant,,
562,Data,XCH,Mutual Fund Exchange Transaction,,
