line_no,row_kind,asset_category,symbol,cost_adj,realized_s_t_profit,realized_s_t_loss,realized_l_t_profit,realized_l_t_loss,realized_total,unrealized_s_t_profit,unrealized_s_t_loss,unrealized_l_t_profit,unrealized_l_t_loss,unrealized_total,total,code
27,Data,Stocks,AT.,0,0,-354.7625,0,0,-354.7625,0,0,0,0,0,-354.7625,
28,Data,Stocks,CBL,0,0,-669.5919647,0,0,-669.5919647,0,0,0,0,0,-669.5919647,
29,Data,Stocks,CUBI,0,0,-225.143817,0,0,-225.143817,0,0,0,0,0,-225.143817,
30,Data,Stocks,DSU,0,0,-104.35222204,0,0,-104.35222204,0,0,0,0,0,-104.35222204,
31,Data,Stocks,EL,0,27.911273,0,0,0,27.911273,0,0,0,0,0,27.911273,
32,Data,Stocks,EQT,0,0,0,0,0,0,142.9986,0,0,0,142.9986,142.9986,
33,Data,Stocks,FIG,0,0,0,0,0,0,335.9978,0,0,0,335.9978,335.9978,
34,Data,Stocks,GLBE,0,4.22991231,-826.56900311,0,0,-822.3390908,0,0,0,0,0,-822.3390908,
35,Data,Stocks,HAS,0,16.774228,0,0,0,16.774228,0,0,0,0,0,16.774228,
36,Data,Stocks,HBI,0,28.947801,0,0,0,28.947801,0,0,0,0,0,28.947801,
37,Data,Stocks,HPE,0,8.950157,0,0,0,8.950157,0,0,0,0,0,8.950157,
38,Data,Stocks,HPQ,0,36.399758,0,0,0,36.399758,0,0,0,0,0,36.399758,
39,Data,Stocks,IGIC,0,0,0,0,0,0,132.9952,0,0,0,132.9952,132.9952,
40,Data,Stocks,KINS,0,0,0.0000005,0,0,0.0000005,324.425075,0,0,0,324.425075,324.4250755,
41,Data,Stocks,MAT,0,36.062032,0,0,0,36.062032,0,0,0,0,0,36.062032,
42,Data,Stocks,MSCI,0,18.92062293,-349.47770029,0,0,-330.55707736,0,0,0,0,0,-330.55707736,
43,Data,Stocks,NMM,0,0,-724.74340232,0,0,-724.74340232,0,0,0,0,0,-724.74340232,
44,Data,Stocks,NVDA,0,0,0,0,0,0,306.799825,0,1471.73428,0,1778.534105,1778.534105,
45,Data,Stocks,RNMBY,0,0,0,0,0,0,0,-149.500001,0,0,-149.500001,-149.500001,
46,Data,Stocks,SE,0,0,-355.43492541,0,0,-355.43492541,0,0,0,0,0,-355.43492541,
47,Data,Stocks,SFM,0,0,0,0,0,0,0,-856.96049,0,0,-856.96049,-856.96049,
48,Data,Stocks,SLV,0,0,0,0,0,0,3263.29275,0,0,0,3263.29275,3263.29275,
49,Data,Stocks,TKO,0,0,0,0,0,0,429.799448,0,0,0,429.799448,429.799448,
50,Data,Stocks,TW,0,0,-186.0487731,0,0,-186.0487731,0,0,0,0,0,-186.0487731,
51,Data,Stocks,V,0,0,0,0,0,0,108.589895,0,0,0,108.589895,108.589895,
52,Data,Stocks,VBNK,0,0,-545.10187074,0,0,-545.10187074,0,0,0,0,0,-545.10187074,
53,Data,Stocks,WHR,0,7.394539,0,0,0,7.394539,0,0,0,0,0,7.394539,
54,Data,Stocks,YETI,0,13.742973,0,0,0,13.742973,0,0,0,0,0,13.742973,
55,Data,Total,,0,199.33329624,-4341.22617821,0,0,-4141.89288197,5044.898593,-1006.460491,1471.73428,0,5510.172382,1368.27950003,
56,Data,Equity and Index Options,NMM 16JAN26 70 C,0,0,0,0,0,0,0,0,0,-198.46395,-198.46395,-198.46395,
57,Data,Equity and Index Options,NMM 16JAN26 85 C,0,0,0,0,0,0,0,0,0,-81.57395,-81.57395,-81.57395,
58,Data,Equity and Index Options,NXT 16MAY25 30 C,0,0,-975.330094,0,0,-975.330094,0,0,0,0,0,-975.330094,
59,Data,Equity and Index Options,NXT 15AUG25 30 C,0,86.8640122,-60.1318734,0,0,26.7321388,0,0,0,0,0,26.7321388,
60,Data,Equity and Index Options,PCTY 21FEB25 180 C,0,287.0482392,0,0,0,287.0482392,0,0,0,0,0,287.0482392,
61,Data,Equity and Index Options,PDD 15AUG25 110 C,0,0,-712.683952,0,0,-712.683952,0,0,0,0,0,-712.683952,
62,Data,Equity and Index Options,PDD 15AUG25 185 C,0,251.120586,0,0,0,251.120586,0,0,0,0,0,251.120586,
63,Data,Equity and Index Options,PDD 16JAN26 60 P,0,1055.331024,0,0,0,1055.331024,0,0,0,0,0,1055.331024,
