line_no,row_kind,datadiscriminator,asset_category,currency,symbol,date_time,quantity,t_price,notional_value,comm_fee,basis,realized_p_l,code
233,Data,Order,Futures,HKD,MHIG5,"2025-02-24, 20:14:00",1,22770,-227700,-17,227717,0,O
234,Data,Order,Futures,HKD,MHIG5,"2025-02-27, 07:00:00",-1,23687,236870,-17,-227717,9136,C;Ep
235,SubTotal,,Futures,HKD,MHIG5,,0,,9170,-34,0,9136,
236,Data,Order,Futures,HKD,MHIJ5,"2025-03-12, 21:19:16",1,23695,-236950,-17,236967,0,O
237,Data,Order,Futures,HKD,MHIJ5,"2025-04-06, 21:45:44",-1,20632,206320,-17,-236967,-30664,C;L
238,SubTotal,,Futures,HKD,MHIJ5,,0,,-30630,-34,0,-30664,
239,Total,,Futures,HKD,,,,,-21460,-68,0,-21528, 
240,Total,,Futures,USD,,,,,-2761.3023,-8.74837,-3.01717,-2773.06784, 
241,Data,Order,Futures,USD,MESH5,"2025-03-10, 11:35:58",-1,5678,28390,-0.62,-30285.62,-1896.24,C
242,SubTotal,,Futures,USD,MESH5,,-1,,28390,-0.62,-30285.62,-1896.24,
243,Data,Order,Futures,USD,MGCG5,"2025-01-29, 09:43:15",-1,2774,27740,-0.77,-26761.77,977.46,C;L
244,SubTotal,,Futures,USD,MGCG5,,-1,,27740,-0.77,-26761.77,977.46,
245,Data,Order,Futures,USD,MGCJ5,"2025-01-31, 08:48:26",1,2847.5,-28475,-0.77,28475.77,0,O
246,Data,Order,Futures,USD,MGCJ5,"2025-03-27, 09:45:58",-1,3046.5,30465,-0.87,-28475.77,1988.36,C;L
247,SubTotal,,Futures,USD,MGCJ5,,0,,1990,-1.64,0,1988.36,
248,Data,Order,Futures,USD,MGCM5,"2025-04-01, 16:50:17",1,3151.2,-31512,-0.87,31512.87,0,O
249,Data,Order,Futures,USD,MGCM5,"2025-04-04, 11:51:31",-1,3041.2,30412,-0.87,-31512.87,-1101.74,C;L
250,Data,Order,Futures,USD,MGCM5,"2025-04-14, 15:39:07",1,3225.9,-32259,-0.87,32259.87,0,O
251,Data,Order,Futures,USD,MGCM5,"2025-05-28, 09:42:35",-1,3298,32980,-0.87,-32259.87,719.26,C;L
252,SubTotal,,Futures,USD,MGCM5,,0,,-379,-3.48,0,-382.48,
253,Data,Order,Futures,USD,ZFM5,"2025-03-21, 10:06:59",1,108.1640625,-108164.0625,-1.52,108165.5825,0,O
254,Data,Order,Futures,USD,ZFM5,"2025-04-09, 09:50:40",-1,108.203125,108203.125,-1.52,-108165.5825,36.0225,C
255,SubTotal,,Futures,USD,ZFM5,,0,,39.0625,-3.04,0,36.0225,
256,Total,,Futures,USD,,,,,57780.0625,-9.55,-57047.39,723.1225, 
