line_no,row_kind,source_table,datadiscriminator,asset_category,currency,symbol,date_time,quantity,t_price,proceeds,comm_fee,basis,realized_p_l,code,notional_value,comm_in_usd,field_10,field_11
106,Data,trades__01,Order,Stocks,GBP,AT.,"2025-01-07, 07:51:26",100,5.55,-555,-3,558,0,O,,,,
107,Data,trades__01,Order,Stocks,GBP,AT.,"2025-02-24, 08:57:30",-300,5.33,1599,-3,-1877,-281,C;IM;P,,,,
108,SubTotal,trades__01,,Stocks,GBP,AT.,,-200,,1044,-6,-1319,-281,,,,,
109,Total,trades__01,,Stocks,GBP,,,,,1044,-6,-1319,-281, ,,,,
110,Total,trades__01,,Stocks,USD,,,,,1326.2085,-7.5309,-1673.4401,-354.7625, ,,,,
111,Data,trades__01,Order,Stocks,USD,CBL,"2025-04-08, 13:38:49",-100,22.865,2286.5,-1.0847647,-2955.0072,-669.591965,C,,,,
112,SubTotal,trades__01,,Stocks,USD,CBL,,-100,,2286.5,-1.0847647,-2955.0072,-669.591965,,,,,
113,Data,trades__01,Order,Stocks,USD,CUBI,"2025-01-03, 09:49:43",50,47,-2350,-1.00175,2351.00175,0,O,,,,
114,Data,trades__01,Order,Stocks,USD,CUBI,"2025-04-09, 09:54:15",-100,42.65,4265,-1.139767,-4483.4318665,-219.571633,C;O;P,,,,
115,Data,trades__01,Order,Stocks,USD,CUBI,"2025-04-09, 09:54:22",50,42.74,-2137,-1.0023,2132.430117,-5.572183,C,,,,
116,SubTotal,trades__01,,Stocks,USD,CUBI,,0,,-222,-3.143817,0.0000005,-225.143816,,,,,
117,Data,trades__01,Order,Stocks,USD,DSU,"2024-12-31, 09:57:13",-337,10.79,3636.23,-1.866293194,-3738.715929,-104.352222,C,,,,
118,SubTotal,trades__01,,Stocks,USD,DSU,,-337,,3636.23,-1.866293194,-3738.715929,-104.352222,,,,,
119,Data,trades__01,Order,Stocks,USD,EL,"2025-03-31, 10:59:42",-3,65.3825,196.1475,-1.0060889,-195.1414111,0,IA;O,,,,
120,Data,trades__01,Order,Stocks,USD,EL,"2025-04-09, 14:07:11",3,55.41,-166.23,-1.000138,195.141411,27.911273,C,,,,
121,SubTotal,trades__01,,Stocks,USD,EL,,0,,29.9175,-2.0062269,-0.0000001,27.911273,,,,,
122,Data,trades__01,Order,Stocks,USD,EQT,"2025-02-21, 14:38:05",40,50,-2000,-1.0014,2001.0014,0,O,,,,
123,SubTotal,trades__01,,Stocks,USD,EQT,,40,,-2000,-1.0014,2001.0014,0,,,,,
124,Data,trades__01,Order,Stocks,USD,FIG,"2025-11-20, 12:36:40",100,34,-3400,-1.0022,3401.0022,0,O,,,,
125,SubTotal,trades__01,,Stocks,USD,FIG,,100,,-3400,-1.0022,3401.0022,0,,,,,
126,Data,trades__01,Order,Stocks,USD,GLBE,"2025-03-10, 11:39:04",-100,37.1859,3718.59,-1.124576802,-2790.872352,-821.74836,C;O;P,,,,
127,Data,trades__01,Order,Stocks,USD,GLBE,"2025-03-10, 11:41:45",47,37.19,-1747.93,-1.002162,1748.34143,-0.590732,C,,,,
128,SubTotal,trades__01,,Stocks,USD,GLBE,,-53,,1970.66,-2.126738802,-1042.530922,-822.339092,,,,,
129,Data,trades__01,Order,Stocks,USD,HAS,"2025-03-31, 10:58:34",-3,60.72,182.16,-1.005667048,-181.154332952,0,O,,,,
130,Data,trades__01,Order,Stocks,USD,HAS,"2025-04-09, 14:07:25",3,54.46,-163.38,-1.000105,181.154333,16.774228,C,,,,
131,SubTotal,trades__01,,Stocks,USD,HAS,,0,,18.78,-2.005772048,0.000000048,16.774228,,,,,
132,Data,trades__01,Order,Stocks,USD,HBI,"2025-03-31, 11:00:06",-30,5.742,172.26,-1.011148828,-171.248851172,0,O,,,,
133,Data,trades__01,Order,Stocks,USD,HBI,"2025-04-09, 14:06:32",30,4.71,-141.3,-1.00105,171.248851,28.947801,C,,,,
134,SubTotal,trades__01,,Stocks,USD,HBI,,0,,30.96,-2.012198828,-0.000000172,28.947801,,,,,
135,Data,trades__01,Order,Stocks,USD,HPE,"2025-03-31, 10:56:59",-10,15.335,153.35,-1.00638313,-152.34361687,0,O,,,,
136,Data,trades__01,Order,Stocks,USD,HPE,"2025-04-09, 14:06:42",10,14.2393,-142.393,-1.00046,152.343617,8.950157,C;IA,,,,
137,SubTotal,trades__01,,Stocks,USD,HPE,,0,,10.957,-2.00684313,0.00000013,8.950157,,,,,
138,Data,trades__01,Order,Stocks,USD,HPQ,"2025-03-31, 10:56:27",-10,27.561,275.61,-1.009781958,-274.600218042,0,O,,,,
139,Data,trades__01,Order,Stocks,USD,HPQ,"2025-04-09, 14:06:52",10,23.72,-237.2,-1.00046,274.600218,36.399758,C,,,,
140,SubTotal,trades__01,,Stocks,USD,HPQ,,0,,38.41,-2.010241958,-0.000000042,36.399758,,,,,
141,Data,trades__01,Order,Stocks,USD,IGIC,"2024-12-31, 09:50:10",100,23.75,-2375,-1.0048,2376.0048,0,O;P,,,,
142,SubTotal,trades__01,,Stocks,USD,IGIC,,100,,-2375,-1.0048,2376.0048,0,,,,,
143,Data,trades__01,Order,Stocks,USD,KINS,"2024-12-31, 11:25:08",100,14.79,-1479,-1.0072,1480.0072,0,O,,,,
144,Data,trades__01,Order,Stocks,USD,KINS,"2024-12-31, 11:40:57",-100,14.775,1477.5,-1.0624745,-1480.0072,-3.569675,C,,,,
145,Data,trades__01,Order,Stocks,USD,KINS,"2025-01-08, 14:22:11",100,14.63,-1463,-1.0035,1464.0035,3.569675,O,,,,
146,Data,trades__01,Order,Stocks,USD,KINS,"2025-01-08, 14:23:17",50,14.63,-731.5,-1.00175,732.50175,0,O,,,,
147,SubTotal,trades__01,,Stocks,USD,KINS,,150,,-2196,-4.0749245,2196.50525,0,,,,,
148,Data,trades__01,Order,Stocks,USD,MAT,"2025-03-31, 10:58:07",-10,19.382,193.82,-1.007508196,-192.812491804,0,O,,,,
149,Data,trades__01,Order,Stocks,USD,MAT,"2025-04-09, 14:06:17",10,15.575,-155.75,-1.00046,192.812492,36.062032,C,,,,
150,SubTotal,trades__01,,Stocks,USD,MAT,,0,,38.07,-2.007968196,0.000000196,36.062032,,,,,
