line_no,row_kind,source_table,currency,field_name,field_value
410,Data,interest_accruals__01,Base Currency Summary,Starting Accrual Balance,-87.3749551
411,Data,interest_accruals__01,Base Currency Summary,Interest Accrued,-207.6779284
412,Data,interest_accruals__01,Base Currency Summary,Accrual Reversal,261.8475582
413,Data,interest_accruals__01,Base Currency Summary,FX Translation,0.0984138
414,Data,interest_accruals__01,Base Currency Summary,Ending Accrual Balance,-33.1069115
415,Data,interest_accruals__01,GBP,Starting Accrual Balance,0
416,Data,interest_accruals__01,GBP,Interest Accrued,-5.49
417,Data,interest_accruals__01,GBP,Accrual Reversal,0
418,Data,interest_accruals__01,GBP,Ending Accrual Balance,-5.49
419,Data,interest_accruals__01,GBP,Ending Accrual Balance in USD,-7.332993
420,Data,interest_accruals__01,HKD,Starting Accrual Balance,-28.67
421,Data,interest_accruals__01,HKD,Interest Accrued,-47.19
422,Data,interest_accruals__01,HKD,Accrual Reversal,73.41
423,Data,interest_accruals__01,HKD,Ending Accrual Balance,-2.45
424,Data,interest_accruals__01,HKD,Ending Accrual Balance in USD,-0.3139185
425,Data,interest_accruals__01,USD,Starting Accrual Balance,-83.69
426,Data,interest_accruals__01,USD,Interest Accrued,-194.18
427,Data,interest_accruals__01,USD,Accrual Reversal,252.41
428,Data,interest_accruals__01,USD,Ending Accrual Balance,-25.46
