line_no,row_kind,source_table,datadiscriminator,asset_category,currency,symbol,date_time,quantity,t_price,c_price,proceeds,comm_fee,basis,realized_p_l,mtm_p_l,code,notional_value,field_8,comm_in_usd,field_11,field_12,mtm_in_usd
224,Data,trades__01,Order,Stocks,GBP,AT.,"2026-01-30, 08:10:15",300,4,4.035,-1200,-9,1209,0,10.5,O,,,,,,
225,Data,trades__01,Order,Stocks,GBP,AT.,"2026-02-06, 09:56:07",100,4.155,4.21,-415.5,-5.0775,420.5775,0,5.5,O,,,,,,
226,SubTotal,trades__01,,Stocks,GBP,AT.,,400,,,-1615.5,-14.0775,1629.5775,0,16,,,,,,,
227,Total,trades__01,,Stocks,GBP,,,,,,-1615.5,-14.0775,1629.5775,0,16, ,,,,,,
228,Total,trades__01,,Stocks,USD,,,,,,-2208.2217,-19.2317085,2227.4534085,0,21.8601, ,,,,,,
229,Data,trades__01,Order,Stocks,USD,AAPL,"2026-03-02, 09:50:39",1,262.905,264.72,-262.905,-1,263.905,0,1.815,O,,,,,,
230,Data,trades__01,Order,Stocks,USD,AAPL,"2026-03-02, 10:34:53",1,264.215,264.72,-264.215,-1,265.215,0,0.505,O,,,,,,
231,SubTotal,trades__01,,Stocks,USD,AAPL,,2,,,-527.12,-2,529.12,0,2.32,,,,,,,
232,Data,trades__01,Order,Stocks,USD,CBL,"2025-04-08, 13:38:49",-100,22.865,22.42,2286.5,-1.0847647,-2955.0072,-669.591965,44.5,C,,,,,,
233,SubTotal,trades__01,,Stocks,USD,CBL,,-100,,,2286.5,-1.0847647,-2955.0072,-669.591965,44.5,,,,,,,
234,Data,trades__01,Order,Stocks,USD,CUBI,"2025-04-09, 09:54:15",-100,42.65,47.29,4265,-1.139767,-4483.4318665,-219.571633,-464,C;O;P,,,,,,
235,Data,trades__01,Order,Stocks,USD,CUBI,"2025-04-09, 09:54:22",50,42.74,47.29,-2137,-1.0023,2132.430117,-5.572183,227.5,C,,,,,,
236,SubTotal,trades__01,,Stocks,USD,CUBI,,-50,,,2128,-2.142067,-2351.0017495,-225.143816,-236.5,,,,,,,
237,Data,trades__01,Order,Stocks,USD,EL,"2025-04-09, 14:07:11",3,55.41,56.16,-166.23,-1.000138,195.141411,27.911273,2.25,C,,,,,,
238,SubTotal,trades__01,,Stocks,USD,EL,,3,,,-166.23,-1.000138,195.141411,27.911273,2.25,,,,,,,
239,Data,trades__01,Order,Stocks,USD,FIG,"2025-11-20, 12:36:40",100,34,33.57,-3400,-1.0022,3401.0022,0,-43,O,,,,,,
240,Data,trades__01,Order,Stocks,USD,FIG,"2026-03-03, 09:30:01",1,28.47,30.74,-28.47,-0.2857,28.7557,0,2.27,O,,,,,,
241,Data,trades__01,Order,Stocks,USD,FIG,"2026-03-03, 09:30:01",1,28.47,30.74,-28.47,-0.2857,28.7557,0,2.27,O,,,,,,
242,Data,trades__01,Order,Stocks,USD,FIG,"2026-03-03, 09:30:01",1,28.47,30.74,-28.47,-0.2857,28.7557,0,2.27,O,,,,,,
243,SubTotal,trades__01,,Stocks,USD,FIG,,103,,,-3485.41,-1.8593,3487.2693,0,-36.19,,,,,,,
244,Data,trades__01,Order,Stocks,USD,HAS,"2025-04-09, 14:07:25",3,54.46,55.18,-163.38,-1.000105,181.154333,16.774228,2.16,C,,,,,,
245,SubTotal,trades__01,,Stocks,USD,HAS,,3,,,-163.38,-1.000105,181.154333,16.774228,2.16,,,,,,,
246,Data,trades__01,Order,Stocks,USD,HBI,"2025-04-09, 14:06:32",30,4.71,4.86,-141.3,-1.00105,171.248851,28.947801,4.5,C,,,,,,
247,SubTotal,trades__01,,Stocks,USD,HBI,,30,,,-141.3,-1.00105,171.248851,28.947801,4.5,,,,,,,
248,Data,trades__01,Order,Stocks,USD,HPE,"2025-04-09, 14:06:42",10,14.2393,14.5,-142.393,-1.00046,152.343617,8.950157,2.607,C;IA,,,,,,
249,SubTotal,trades__01,,Stocks,USD,HPE,,10,,,-142.393,-1.00046,152.343617,8.950157,2.607,,,,,,,
250,Data,trades__01,Order,Stocks,USD,HPQ,"2025-04-09, 14:06:52",10,23.72,24.28,-237.2,-1.00046,274.600218,36.399758,5.6,C,,,,,,
251,SubTotal,trades__01,,Stocks,USD,HPQ,,10,,,-237.2,-1.00046,274.600218,36.399758,5.6,,,,,,,
252,Data,trades__01,Order,Stocks,USD,MAT,"2025-04-09, 14:06:17",10,15.575,15.86,-155.75,-1.00046,192.812492,36.062032,2.85,C,,,,,,
253,SubTotal,trades__01,,Stocks,USD,MAT,,10,,,-155.75,-1.00046,192.812492,36.062032,2.85,,,,,,,
254,Data,trades__01,Order,Stocks,USD,MSCI,"2025-04-08, 13:39:07",-5,509.535,506.97,2547.675,-1.071885365,-2877.160192,-330.557077,12.825,C,,,,,,
255,SubTotal,trades__01,,Stocks,USD,MSCI,,-5,,,2547.675,-1.071885365,-2877.160192,-330.557077,12.825,,,,,,,
256,Data,trades__01,Order,Stocks,USD,NMM,"2025-04-08, 13:38:37",-40,30.11,29.54,1204.4,-1.04196232,-1928.10144,-724.743402,22.8,C,,,,,,
257,SubTotal,trades__01,,Stocks,USD,NMM,,-40,,,1204.4,-1.04196232,-1928.10144,-724.743402,22.8,,,,,,,
258,Data,trades__01,Order,Stocks,USD,RNMBY,"2025-06-06, 08:22:17",3,415,410.77,-1245,-1.00000138,1246.00000138,0,-12.69,O,,,,,,
259,SubTotal,trades__01,,Stocks,USD,RNMBY,,3,,,-1245,-1.00000138,1246.00000138,0,-12.69,,,,,,,
260,Data,trades__01,Order,Stocks,USD,SE,"2025-04-09, 09:52:14",-16,105.21,119.09,1683.36,-1.050189408,-2037.744736,-355.434925,-222.08,C,,,,,,
261,SubTotal,trades__01,,Stocks,USD,SE,,-16,,,1683.36,-1.050189408,-2037.744736,-355.434925,-222.08,,,,,,,
262,Data,trades__01,Order,Stocks,USD,SLV,"2025-06-20, 16:20:00",100,30,32.72,-3000,0,3000,0,272,Ex;O,,,,,,
263,SubTotal,trades__01,,Stocks,USD,SLV,,100,,,-3000,0,3000,0,272,,,,,,,
264,Data,trades__01,Order,Stocks,USD,WHR,"2025-04-09, 14:07:40",2,84.23,85.27,-168.46,-1.000092,176.854631,7.394539,2.08,C,,,,,,
265,SubTotal,trades__01,,Stocks,USD,WHR,,2,,,-168.46,-1.000092,176.854631,7.394539,2.08,,,,,,,
266,Data,trades__01,Order,Stocks,USD,YETI,"2025-04-09, 14:07:03",6,30.225,30.9,-181.35,-1.000276,196.093249,13.742973,4.05,C,,,,,,
267,SubTotal,trades__01,,Stocks,USD,YETI,,6,,,-181.35,-1.000276,196.093249,13.742973,4.05,,,,,,,
268,Total,trades__01,,Stocks,USD,,,,,,236.342,-19.253211173,-2346.37721412,-2129.288424,-126.918, ,,,,,,
270,Data,trades__01,Order,Equity and Index Options,USD,NMM 16JAN26 70 C,"2026-01-16, 16:20:00",-1,0,0,0,0,-210.04395,-210.04395,0,C;Ep,,,,,,
271,SubTotal,trades__01,,Equity and Index Options,USD,NMM 16JAN26 70 C,,-1,,,0,0,-210.04395,-210.04395,0,,,,,,,
272,Data,trades__01,Order,Equity and Index Options,USD,NMM 16JAN26 85 C,"2026-01-16, 16:20:00",-1,0,0,0,0,-85.04395,-85.04395,0,C;Ep,,,,,,
273,SubTotal,trades__01,,Equity and Index Options,USD,NMM 16JAN26 85 C,,-1,,,0,0,-85.04395,-85.04395,0,,,,,,,
274,Data,trades__01,Order,Equity and Index Options,USD,NXT 15AUG25 30 C,"2025-04-04, 11:51:33",-1,11.51,11.6367,1151,-1.0920378,-1063.04395,86.864012,-12.67,C;L,,,,,,
275,Data,trades__01,Order,Equity and Index Options,USD,NXT 15AUG25 30 C,"2025-04-09, 09:51:42",-1,10.03,11.6185,1003,-1.0879234,-1062.04395,-60.131873,-158.85,C,,,,,,
