table_name,section,header_line_no,column_count,row_count,csv_path,raw_headers_json,column_names_json
account_information__01,Account Information,7,2,6,tables/account_information__01.csv,"[""Field Name"", ""Field Value""]","[""field_name"", ""field_value""]"
account_information__all,Account Information,8,2,6,tables/account_information__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""field_name"", ""field_value""]"
cash_report__01,Cash Report,147,8,40,tables/cash_report__01.csv,"[""Currency Summary"", ""Currency"", ""Total"", ""Securities"", ""Futures"", ""Month to Date"", ""Year to Date"", """"]","[""currency_summary"", ""currency"", ""total"", ""securities"", ""futures"", ""month_to_date"", ""year_to_date"", ""field_8""]"
cash_report__all,Cash Report,148,8,40,tables/cash_report__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""currency_summary"", ""currency"", ""total"", ""securities"", ""futures"", ""month_to_date"", ""year_to_date"", ""field_8""]"
change_in_dividend_accruals__01,Change in Dividend Accruals,429,13,48,tables/change_in_dividend_accruals__01.csv,"[""Asset Category"", ""Currency"", ""Symbol"", ""Date"", ""Ex Date"", ""Pay Date"", ""Quantity"", ""Tax"", ""Fee"", ""Gross Rate"", ""Gross Amount"", ""Net Amount"", ""Code""]","[""asset_category"", ""currency"", ""symbol"", ""date"", ""ex_date"", ""pay_date"", ""quantity"", ""tax"", ""fee"", ""gross_rate"", ""gross_amount"", ""net_amount"", ""code""]"
change_in_dividend_accruals__all,Change in Dividend Accruals,430,13,48,tables/change_in_dividend_accruals__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""asset_category"", ""currency"", ""symbol"", ""date"", ""ex_date"", ""pay_date"", ""quantity"", ""tax"", ""fee"", ""gross_rate"", ""gross_amount"", ""net_amount"", ""code""]"
change_in_nav__01,Change in NAV,23,2,11,tables/change_in_nav__01.csv,"[""Field Name"", ""Field Value""]","[""field_name"", ""field_value""]"
change_in_nav__all,Change in NAV,24,2,11,tables/change_in_nav__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""field_name"", ""field_value""]"
codes__01,Codes,524,4,72,tables/codes__01.csv,"[""Code"", ""Meaning"", ""Code (Cont.)"", ""Meaning (Cont.)""]","[""code"", ""meaning"", ""code_cont"", ""meaning_cont""]"
codes__all,Codes,525,4,72,tables/codes__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""code"", ""meaning"", ""code_cont"", ""meaning_cont""]"
dividends__01,Dividends,352,4,28,tables/dividends__01.csv,"[""Currency"", ""Date"", ""Description"", ""Amount""]","[""currency"", ""date"", ""description"", ""amount""]"
dividends__all,Dividends,353,4,28,tables/dividends__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""currency"", ""date"", ""description"", ""amount""]"
fees__01,Fees,322,5,29,tables/fees__01.csv,"[""Subtitle"", ""Currency"", ""Date"", ""Description"", ""Amount""]","[""subtitle"", ""currency"", ""date"", ""description"", ""amount""]"
fees__all,Fees,323,5,29,tables/fees__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""subtitle"", ""currency"", ""date"", ""description"", ""amount""]"
